field1	field2	field3	field4	field5	field6	field7	field8	field9	field10	field11	field12	field13	field14	field15	field16	field17	field18	field19	field20	field21	field22	$N-field2
0	0	2	5	8	11	13	17	21	23	27	31	34	36	37	41	44	45	47	51	54		3.909
1	2	3	6	9	11	15	19	21	25	29	32	34	35	39	42	43	45	49	52	55		4.301
2	3	3	6	8	12	16	18	22	26	29	31	32	36	39	40	42	46	49	52	55		2.975
3	3	3	5	9	13	15	19	23	26	28	29	33	36	37	39	43	46	49	52	56		3.326
4	3	2	6	10	12	16	20	23	25	26	30	33	34	36	40	43	46	49	53	55		3.138
5	2	4	8	10	14	18	21	23	24	28	31	32	34	38	41	44	47	51	53	58		2.110
6	4	4	6	10	14	17	19	20	24	27	28	30	34	37	40	43	47	49	54	58		3.755
7	4	2	6	10	13	15	16	20	23	24	26	30	33	36	39	43	45	50	54	55		1.317
8	2	4	8	11	13	14	18	21	22	24	28	31	34	37	41	43	48	52	53	58		0.565
9	4	4	7	9	10	14	17	18	20	24	27	30	33	37	39	44	48	49	54	57		3.890
10	4	3	5	6	10	13	14	16	20	23	26	29	33	35	40	44	45	50	53	55		3.696
11	3	2	3	7	10	11	13	17	20	23	26	30	32	37	41	42	47	50	52	56		2.916
12	2	1	5	8	9	11	15	18	21	24	28	30	35	39	40	45	48	50	54	59		2.616
13	1	4	7	8	10	14	17	20	23	27	29	34	38	39	44	47	49	53	58	61		1.047
14	4	3	4	6	10	13	16	19	23	25	30	34	35	40	43	45	49	54	57	61		3.726
15	3	1	3	7	10	13	16	20	22	27	31	32	37	40	42	46	51	54	58	61		3.354
16	1	2	6	9	12	15	19	21	26	30	31	36	39	41	45	50	53	57	60	63		1.881
17	2	4	7	10	13	17	19	24	28	29	34	37	39	43	48	51	55	58	61	64		2.122
18	4	3	6	9	13	15	20	24	25	30	33	35	39	44	47	51	54	57	60	62		4.135
19	3	3	6	10	12	17	21	22	27	30	32	36	41	44	48	51	54	57	59	62		2.825
20	3	3	7	9	14	18	19	24	27	29	33	38	41	45	48	51	54	56	59	61		2.610
21	3	4	6	11	15	16	21	24	26	30	35	38	42	45	48	51	53	56	58	59		2.516
22	4	2	7	11	12	17	20	22	26	31	34	38	41	44	47	49	52	54	55	59		3.437
23	2	5	9	10	15	18	20	24	29	32	36	39	42	45	47	50	52	53	57	59		2.323
24	5	4	5	10	13	15	19	24	27	31	34	37	40	42	45	47	48	52	54	56		2.354
25	4	1	6	9	11	15	20	23	27	30	33	36	38	41	43	44	48	50	52	52		3.803
26	1	5	8	10	14	19	22	26	29	32	35	37	40	42	43	47	49	51	51	53		2.606
27	5	3	5	9	14	17	21	24	27	30	32	35	37	38	42	44	46	46	48	52		5.636
28	3	2	6	11	14	18	21	24	27	29	32	34	35	39	41	43	43	45	49	51		2.566
29	2	4	9	12	16	19	22	25	27	30	32	33	37	39	41	41	43	47	49	53		2.116
30	4	5	8	12	15	18	21	23	26	28	29	33	35	37	37	39	43	45	49	52		3.794
31	5	3	7	10	13	16	18	21	23	24	28	30	32	32	34	38	40	44	47	49		4.858
32	3	4	7	10	13	15	18	20	21	25	27	29	29	31	35	37	41	44	46	51		3.367
33	4	3	6	9	11	14	16	17	21	23	25	25	27	31	33	37	40	42	47	51		1.420
34	3	3	6	8	11	13	14	18	20	22	22	24	28	30	34	37	39	44	48	50		3.054
35	3	3	5	8	10	11	15	17	19	19	21	25	27	31	34	36	41	45	47	52		2.501
36	3	2	5	7	8	12	14	16	16	18	22	24	28	31	33	38	42	44	49	51		3.217
37	2	3	5	6	10	12	14	14	16	20	22	26	29	31	36	40	42	47	49	51		1.844
38	3	2	3	7	9	11	11	13	17	19	23	26	28	33	37	39	44	46	48	51		3.107
39	2	1	5	7	9	9	11	15	17	21	24	26	31	35	37	42	44	46	49	51		1.983
40	1	4	6	8	8	10	14	16	20	23	25	30	34	36	41	43	45	48	50	53		0.901
41	4	2	4	4	6	10	12	16	19	21	26	30	32	37	39	41	44	46	49	51		4.116
42	2	2	2	4	8	10	14	17	19	24	28	30	35	37	39	42	44	47	49	53		1.897
43	2	0	2	6	8	12	15	17	22	26	28	33	35	37	40	42	45	47	51	53		2.110
44	0	2	6	8	12	15	17	22	26	28	33	35	37	40	42	45	47	51	53	55		2.551
45	2	4	6	10	13	15	20	24	26	31	33	35	38	40	43	45	49	51	53	56		4.197
46	4	2	6	9	11	16	20	22	27	29	31	34	36	39	41	45	47	49	52	56		3.964
47	2	4	7	9	14	18	20	25	27	29	32	34	37	39	43	45	47	50	54	57		0.880
48	4	3	5	10	14	16	21	23	25	28	30	33	35	39	41	43	46	50	53	57		4.008
49	3	2	7	11	13	18	20	22	25	27	30	32	36	38	40	43	47	50	54	57		3.110
50	2	5	9	11	16	18	20	23	25	28	30	34	36	38	41	45	48	52	55	57		1.794
51	5	4	6	11	13	15	18	20	23	25	29	31	33	36	40	43	47	50	52	55		0.110
52	4	2	7	9	11	14	16	19	21	25	27	29	32	36	39	43	46	48	51	52		3.802
53	2	5	7	9	12	14	17	19	23	25	27	30	34	37	41	44	46	49	50	54		2.082
54	5	2	4	7	9	12	14	18	20	22	25	29	32	36	39	41	44	45	49	52		4.522
55	2	2	5	7	10	12	16	18	20	23	27	30	34	37	39	42	43	47	50	53		1.233
56	2	3	5	8	10	14	16	18	21	25	28	32	35	37	40	41	45	48	51	54		0.956
57	3	2	5	7	11	13	15	18	22	25	29	32	34	37	38	42	45	48	51	52		2.818
58	2	3	5	9	11	13	16	20	23	27	30	32	35	36	40	43	46	49	50	53		2.996
59	3	2	6	8	10	13	17	20	24	27	29	32	33	37	40	43	46	47	50	55		0.175
60	2	4	6	8	11	15	18	22	25	27	30	31	35	38	41	44	45	48	53	56		1.707
61	4	2	4	7	11	14	18	21	23	26	27	31	34	37	40	41	44	49	52	53		2.156
62	2	2	5	9	12	16	19	21	24	25	29	32	35	38	39	42	47	50	51	56		2.203
63	2	3	7	10	14	17	19	22	23	27	30	33	36	37	40	45	48	49	54	56		2.014
64	3	4	7	11	14	16	19	20	24	27	30	33	34	37	42	45	46	51	53	56		2.971
65	4	3	7	10	12	15	16	20	23	26	29	30	33	38	41	42	47	49	52	55		3.854
66	3	4	7	9	12	13	17	20	23	26	27	30	35	38	39	44	46	49	52	55		2.866
67	4	3	5	8	9	13	16	19	22	23	26	31	34	35	40	42	45	48	51	55		3.876
68	3	2	5	6	10	13	16	19	20	23	28	31	32	37	39	42	45	48	52	55		-1.172
69	2	3	4	8	11	14	17	18	21	26	29	30	35	37	40	43	46	50	53	56		5.827
70	3	1	5	8	11	14	15	18	23	26	27	32	34	37	40	43	47	50	53	56		2.714
71	1	4	7	10	13	14	17	22	25	26	31	33	36	39	42	46	49	52	55	58		1.432
72	4	3	6	9	10	13	18	21	22	27	29	32	35	38	42	45	48	51	54	58		4.180
