field1	field2	field3	field4	field5	field6	field7	field8	field9	field10	field11	field12	field13	field14	field15	field16	field17	field18	field19	field20	field21	field22	$N-field2
0	0	4	4	5	8	10	14	16	17	18	21	22	24	24	27	28	31	33	35	39		3.356
1	4	0	1	4	6	10	12	13	14	17	18	20	20	23	24	27	29	31	35	38		3.819
2	0	1	4	6	10	12	13	14	17	18	20	20	23	24	27	29	31	35	38	39		-0.217
3	1	3	5	9	11	12	13	16	17	19	19	22	23	26	28	30	34	37	38	38		1.130
4	3	2	6	8	9	10	13	14	16	16	19	20	23	25	27	31	34	35	35	36		3.051
5	2	4	6	7	8	11	12	14	14	17	18	21	23	25	29	32	33	33	34	36		2.095
6	4	2	3	4	7	8	10	10	13	14	17	19	21	25	28	29	29	30	32	35		3.946
7	2	1	2	5	6	8	8	11	12	15	17	19	23	26	27	27	28	30	33	35		2.247
8	1	1	4	5	7	7	10	11	14	16	18	22	25	26	26	27	29	32	34	36		1.843
9	1	3	4	6	6	9	10	13	15	17	21	24	25	25	26	28	31	33	35	37		0.590
10	3	1	3	3	6	7	10	12	14	18	21	22	22	23	25	28	30	32	34	36		0.944
11	1	2	2	5	6	9	11	13	17	20	21	21	22	24	27	29	31	33	35	38		0.825
12	2	0	3	4	7	9	11	15	18	19	19	20	22	25	27	29	31	33	36	36		2.076
13	0	3	4	7	9	11	15	18	19	19	20	22	25	27	29	31	33	36	36	38		3.900
14	3	1	4	6	8	12	15	16	16	17	19	22	24	26	28	30	33	33	35	38		2.829
15	1	3	5	7	11	14	15	15	16	18	21	23	25	27	29	32	32	34	37	37		0.651
16	3	2	4	8	11	12	12	13	15	18	20	22	24	26	29	29	31	34	34	36		3.001
17	2	2	6	9	10	10	11	13	16	18	20	22	24	27	27	29	32	32	34	37		1.840
18	2	4	7	8	8	9	11	14	16	18	20	22	25	25	27	30	30	32	35	36		2.049
19	4	3	4	4	5	7	10	12	14	16	18	21	21	23	26	26	28	31	32	36		4.037
20	3	1	1	2	4	7	9	11	13	15	18	18	20	23	23	25	28	29	33	34		3.380
21	1	0	1	3	6	8	10	12	14	17	17	19	22	22	24	27	28	32	33	35		2.686
22	0	1	3	6	8	10	12	14	17	17	19	22	22	24	27	28	32	33	35	37		2.383
23	1	2	5	7	9	11	13	16	16	18	21	21	23	26	27	31	32	34	36	39		1.958
24	2	3	5	7	9	11	14	14	16	19	19	21	24	25	29	30	32	34	37	41		1.951
25	3	2	4	6	8	11	11	13	16	16	18	21	22	26	27	29	31	34	38	40		2.543
26	2	2	4	6	9	9	11	14	14	16	19	20	24	25	27	29	32	36	38	41		1.531
27	2	2	4	7	7	9	12	12	14	17	18	22	23	25	27	30	34	36	39	42		0.856
28	2	2	5	5	7	10	10	12	15	16	20	21	23	25	28	32	34	37	40	43		1.947
29	2	3	3	5	8	8	10	13	14	18	19	21	23	26	30	32	35	38	41	44		1.748
30	3	0	2	5	5	7	10	11	15	16	18	20	23	27	29	32	35	38	41	43		2.983
31	0	2	5	5	7	10	11	15	16	18	20	23	27	29	32	35	38	41	43	44		1.167
32	2	3	3	5	8	9	13	14	16	18	21	25	27	30	33	36	39	41	42	44		1.787
33	3	0	2	5	6	10	11	13	15	18	22	24	27	30	33	36	38	39	41	43		3.153
