field1	field2	field3	field4	field5	field6	field7	field8	field9	field10	field11	field12	field13	field14	field15	field16	field17	field18	field19	field20	field21	field22	$N-field2
0	0	4	6	10	14	18	21	23	25	28	31	32	35	39	43	46	51	55	59	63		4.100
1	4	2	6	10	14	17	19	21	24	27	28	31	35	39	42	47	51	55	59	61		3.948
2	2	4	8	12	15	17	19	22	25	26	29	33	37	40	45	49	53	57	59	61		4.808
3	4	4	8	11	13	15	18	21	22	25	29	33	36	41	45	49	53	55	57	61		3.991
4	4	4	7	9	11	14	17	18	21	25	29	32	37	41	45	49	51	53	57	60		3.925
5	4	3	5	7	10	13	14	17	21	25	28	33	37	41	45	47	49	53	56	59		3.569
6	3	2	4	7	10	11	14	18	22	25	30	34	38	42	44	46	50	53	56	59		3.145
7	2	2	5	8	9	12	16	20	23	28	32	36	40	42	44	48	51	54	57	60		2.078
8	2	3	6	7	10	14	18	21	26	30	34	38	40	42	46	49	52	55	58	62		7.712
9	3	3	4	7	11	15	18	23	27	31	35	37	39	43	46	49	52	55	59	63		3.079
10	3	1	4	8	12	15	20	24	28	32	34	36	40	43	46	49	52	56	60	63		3.604
11	1	3	7	11	14	19	23	27	31	33	35	39	42	45	48	51	55	59	62	66		1.331
12	3	4	8	11	16	20	24	28	30	32	36	39	42	45	48	52	56	59	63	64		3.057
13	4	4	7	12	16	20	24	26	28	32	35	38	41	44	48	52	55	59	60	63		3.308
14	4	3	8	12	16	20	22	24	28	31	34	37	40	44	48	51	55	56	59	62		3.561
15	3	5	9	13	17	19	21	25	28	31	34	37	41	45	48	52	53	56	59	61		2.467
16	5	4	8	12	14	16	20	23	26	29	32	36	40	43	47	48	51	54	56	58		4.295
17	4	4	8	10	12	16	19	22	25	28	32	36	39	43	44	47	50	52	54	58		4.021
18	4	4	6	8	12	15	18	21	24	28	32	35	39	40	43	46	48	50	54	59		3.835
19	4	2	4	8	11	14	17	20	24	28	31	35	36	39	42	44	46	50	55	58		3.974
20	2	2	6	9	12	15	18	22	26	29	33	34	37	40	42	44	48	53	56	58		2.627
21	2	4	7	10	13	16	20	24	27	31	32	35	38	40	42	46	51	54	56	59		2.788
