field1	field2	field3	field4	field5	field6	field7	field8	field9	field10	field11	field12	field13	field14	field15	field16	field17	field18	field19	field20	field21	field22	$N-field2
0	0	25	40	67	87	105	132	159	184	211	242	268	297	315	342	369	389	417	442	467		26.554
1	25	15	42	62	80	107	134	159	186	217	243	272	290	317	344	364	392	417	442	473		24.234
2	15	27	47	65	92	119	144	171	202	228	257	275	302	329	349	377	402	427	458	489		15.538
3	27	20	38	65	92	117	144	175	201	230	248	275	302	322	350	375	400	431	462	490		26.464
4	20	18	45	72	97	124	155	181	210	228	255	282	302	330	355	380	411	442	470	497		19.691
5	18	27	54	79	106	137	163	192	210	237	264	284	312	337	362	393	424	452	479	505		24.680
6	27	27	52	79	110	136	165	183	210	237	257	285	310	335	366	397	425	452	478	505		24.082
7	27	25	52	83	109	138	156	183	210	230	258	283	308	339	370	398	425	451	478	498		23.993
8	25	27	58	84	113	131	158	185	205	233	258	283	314	345	373	400	426	453	473	491		24.283
9	27	31	57	86	104	131	158	178	206	231	256	287	318	346	373	399	426	446	464	479		23.072
10	31	26	55	73	100	127	147	175	200	225	256	287	315	342	368	395	415	433	448	480		27.973
11	26	29	47	74	101	121	149	174	199	230	261	289	316	342	369	389	407	422	454	481		25.425
12	29	18	45	72	92	120	145	170	201	232	260	287	313	340	360	378	393	425	452	471		27.609
13	18	27	54	74	102	127	152	183	214	242	269	295	322	342	360	375	407	434	453	480		19.671
14	27	27	47	75	100	125	156	187	215	242	268	295	315	333	348	380	407	426	453	478		25.864
15	27	20	48	73	98	129	160	188	215	241	268	288	306	321	353	380	399	426	451	479		23.605
16	20	28	53	78	109	140	168	195	221	248	268	286	301	333	360	379	406	431	459	489		22.525
17	28	25	50	81	112	140	167	193	220	240	258	273	305	332	351	378	403	431	461	485		26.193
18	25	25	56	87	115	142	168	195	215	233	248	280	307	326	353	378	406	436	460	477		23.049
19	25	31	62	90	117	143	170	190	208	223	255	282	301	328	353	381	411	435	452	484		24.938
20	31	31	59	86	112	139	159	177	192	224	251	270	297	322	350	380	404	421	453	480		32.471
21	31	28	55	81	108	128	146	161	193	220	239	266	291	319	349	373	390	422	449	476		29.825
22	28	27	53	80	100	118	133	165	192	211	238	263	291	321	345	362	394	421	448	479		27.517
23	27	26	53	73	91	106	138	165	184	211	236	264	294	318	335	367	394	421	452	480		26.134
24	26	27	47	65	80	112	139	158	185	210	238	268	292	309	341	368	395	426	454	476		24.661
25	27	20	38	53	85	112	131	158	183	211	241	265	282	314	341	368	399	427	449	467		26.989
26	20	18	33	65	92	111	138	163	191	221	245	262	294	321	348	379	407	429	447	465		20.031
27	18	15	47	74	93	120	145	173	203	227	244	276	303	330	361	389	411	429	447	472		18.847
28	15	32	59	78	105	130	158	188	212	229	261	288	315	346	374	396	414	432	457	481		15.846
29	32	27	46	73	98	126	156	180	197	229	256	283	314	342	364	382	400	425	449	472		34.069
30	27	19	46	71	99	129	153	170	202	229	256	287	315	337	355	373	398	422	445	466		23.256
31	19	27	52	80	110	134	151	183	210	237	268	296	318	336	354	379	403	426	447	478		19.895
32	27	25	53	83	107	124	156	183	210	241	269	291	309	327	352	376	399	420	451	476		25.525
33	25	28	58	82	99	131	158	185	216	244	266	284	302	327	351	374	395	426	451	465		21.828
34	28	30	54	71	103	130	157	188	216	238	256	274	299	323	346	367	398	423	437	452		30.296
35	30	24	41	73	100	127	158	186	208	226	244	269	293	316	337	368	393	407	422	443		29.959
36	24	17	49	76	103	134	162	184	202	220	245	269	292	313	344	369	383	398	419	443		21.941
37	17	32	59	86	117	145	167	185	203	228	252	275	296	327	352	366	381	402	426	456		18.209
38	32	27	54	85	113	135	153	171	196	220	243	264	295	320	334	349	370	394	424	441		31.332
39	27	27	58	86	108	126	144	169	193	216	237	268	293	307	322	343	367	397	414	444		27.404
40	27	31	59	81	99	117	142	166	189	210	241	266	280	295	316	340	370	387	417	442		26.032
41	31	28	50	68	86	111	135	158	179	210	235	249	264	285	309	339	356	386	411	435		26.337
42	28	22	40	58	83	107	130	151	182	207	221	236	257	281	311	328	358	383	407	433		20.801
43	22	18	36	61	85	108	129	160	185	199	214	235	259	289	306	336	361	385	411	431		21.496
44	18	18	43	67	90	111	142	167	181	196	217	241	271	288	318	343	367	393	413	443		21.092
45	18	25	49	72	93	124	149	163	178	199	223	253	270	300	325	349	375	395	425	454		17.425
46	25	24	47	68	99	124	138	153	174	198	228	245	275	300	324	350	370	400	429	449		24.511
47	24	23	44	75	100	114	129	150	174	204	221	251	276	300	326	346	376	405	425	441		22.753
48	23	21	52	77	91	106	127	151	181	198	228	253	277	303	323	353	382	402	418	442		19.763
49	21	31	56	70	85	106	130	160	177	207	232	256	282	302	332	361	381	397	421	450		21.312
50	31	25	39	54	75	99	129	146	176	201	225	251	271	301	330	350	366	390	419	442		26.974
51	25	14	29	50	74	104	121	151	176	200	226	246	276	305	325	341	365	394	417	438		25.130
52	14	15	36	60	90	107	137	162	186	212	232	262	291	311	327	351	380	403	424	455		17.171
53	15	21	45	75	92	122	147	171	197	217	247	276	296	312	336	365	388	409	440	467		14.833
54	21	24	54	71	101	126	150	176	196	226	255	275	291	315	344	367	388	419	446	465		20.518
55	24	30	47	77	102	126	152	172	202	231	251	267	291	320	343	364	395	422	441	467		23.701
56	30	17	47	72	96	122	142	172	201	221	237	261	290	313	334	365	392	411	437	456		29.395
57	17	30	55	79	105	125	155	184	204	220	244	273	296	317	348	375	394	420	439	467		19.168
58	30	25	49	75	95	125	154	174	190	214	243	266	287	318	345	364	390	409	437	456		29.887
59	25	24	50	70	100	129	149	165	189	218	241	262	293	320	339	365	384	412	431	451		24.764
60	24	26	46	76	105	125	141	165	194	217	238	269	296	315	341	360	388	407	427	456		23.948
61	26	20	50	79	99	115	139	168	191	212	243	270	289	315	334	362	381	401	430	455		25.260
